user_id,event,timestamp
1,landing_page,01-01-2023 10:00
1,product_page_view,01-01-2023 10:04
1,add_to_cart,01-01-2023 10:08
2,landing_page,01-01-2023 10:00
2,product_page_view,01-01-2023 10:01
2,add_to_cart,01-01-2023 10:05
2,checkout_started,01-01-2023 10:06
3,landing_page,01-01-2023 10:00
3,product_page_view,01-01-2023 10:01
3,add_to_cart,01-01-2023 10:04
3,checkout_started,01-01-2023 10:08
3,payment_entered,01-01-2023 10:09
3,purchase_completed,01-01-2023 10:13
4,landing_page,01-01-2023 10:00
4,product_page_view,01-01-2023 10:05
4,add_to_cart,01-01-2023 10:07
4,checkout_started,01-01-2023 10:12
4,payment_entered,01-01-2023 10:13
4,purchase_completed,01-01-2023 10:16
5,landing_page,01-01-2023 10:00
5,product_page_view,01-01-2023 10:01
5,add_to_cart,01-01-2023 10:05
5,checkout_started,01-01-2023 10:07
5,payment_entered,01-01-2023 10:12
5,purchase_completed,01-01-2023 10:15
6,landing_page,01-01-2023 10:00
6,product_page_view,01-01-2023 10:02
7,landing_page,01-01-2023 10:00
7,product_page_view,01-01-2023 10:03
7,add_to_cart,01-01-2023 10:07
7,checkout_started,01-01-2023 10:09
7,payment_entered,01-01-2023 10:12
7,purchase_completed,01-01-2023 10:16
8,landing_page,01-01-2023 10:00
8,product_page_view,01-01-2023 10:03
8,add_to_cart,01-01-2023 10:07
8,checkout_started,01-01-2023 10:12
8,payment_entered,01-01-2023 10:14
8,purchase_completed,01-01-2023 10:17
9,landing_page,01-01-2023 10:00
9,product_page_view,01-01-2023 10:05
9,add_to_cart,01-01-2023 10:06
9,checkout_started,01-01-2023 10:09
9,payment_entered,01-01-2023 10:14
11,landing_page,01-01-2023 10:00
11,product_page_view,01-01-2023 10:02
11,add_to_cart,01-01-2023 10:07
12,landing_page,01-01-2023 10:00
12,product_page_view,01-01-2023 10:01
12,add_to_cart,01-01-2023 10:02
12,checkout_started,01-01-2023 10:05
12,payment_entered,01-01-2023 10:06
13,landing_page,01-01-2023 10:00
13,product_page_view,01-01-2023 10:05
13,add_to_cart,01-01-2023 10:10
13,checkout_started,01-01-2023 10:13
13,payment_entered,01-01-2023 10:17
13,purchase_completed,01-01-2023 10:22
15,landing_page,01-01-2023 10:00
16,landing_page,01-01-2023 10:00
16,product_page_view,01-01-2023 10:01
16,add_to_cart,01-01-2023 10:06
16,checkout_started,01-01-2023 10:07
16,payment_entered,01-01-2023 10:10
17,landing_page,01-01-2023 10:00
17,product_page_view,01-01-2023 10:05
18,landing_page,01-01-2023 10:00
18,product_page_view,01-01-2023 10:03
18,add_to_cart,01-01-2023 10:05
19,landing_page,01-01-2023 10:00
20,landing_page,01-01-2023 10:00
21,landing_page,01-01-2023 10:00
21,product_page_view,01-01-2023 10:03
21,add_to_cart,01-01-2023 10:04
21,checkout_started,01-01-2023 10:07
21,payment_entered,01-01-2023 10:10
22,landing_page,01-01-2023 10:00
22,product_page_view,01-01-2023 10:04
22,add_to_cart,01-01-2023 10:08
22,checkout_started,01-01-2023 10:10
22,payment_entered,01-01-2023 10:12
22,purchase_completed,01-01-2023 10:17
23,landing_page,01-01-2023 10:00
23,product_page_view,01-01-2023 10:03
23,add_to_cart,01-01-2023 10:06
23,checkout_started,01-01-2023 10:08
23,payment_entered,01-01-2023 10:13
23,purchase_completed,01-01-2023 10:18
24,landing_page,01-01-2023 10:00
24,product_page_view,01-01-2023 10:05
24,add_to_cart,01-01-2023 10:09
24,checkout_started,01-01-2023 10:10
24,payment_entered,01-01-2023 10:12
25,landing_page,01-01-2023 10:00
26,landing_page,01-01-2023 10:00
26,product_page_view,01-01-2023 10:04
26,add_to_cart,01-01-2023 10:05
26,checkout_started,01-01-2023 10:08
27,landing_page,01-01-2023 10:00
28,landing_page,01-01-2023 10:00
28,product_page_view,01-01-2023 10:03
28,add_to_cart,01-01-2023 10:04
28,checkout_started,01-01-2023 10:05
28,payment_entered,01-01-2023 10:10
28,purchase_completed,01-01-2023 10:11
31,landing_page,01-01-2023 10:00
31,product_page_view,01-01-2023 10:03
31,add_to_cart,01-01-2023 10:08
31,checkout_started,01-01-2023 10:13
31,payment_entered,01-01-2023 10:15
31,purchase_completed,01-01-2023 10:18
32,landing_page,01-01-2023 10:00
32,product_page_view,01-01-2023 10:02
33,landing_page,01-01-2023 10:00
33,product_page_view,01-01-2023 10:02
34,landing_page,01-01-2023 10:00
34,product_page_view,01-01-2023 10:01
36,landing_page,01-01-2023 10:00
36,product_page_view,01-01-2023 10:03
36,add_to_cart,01-01-2023 10:04
37,landing_page,01-01-2023 10:00
37,product_page_view,01-01-2023 10:03
37,add_to_cart,01-01-2023 10:06
37,checkout_started,01-01-2023 10:10
37,payment_entered,01-01-2023 10:11
37,purchase_completed,01-01-2023 10:12
38,landing_page,01-01-2023 10:00
38,product_page_view,01-01-2023 10:05
38,add_to_cart,01-01-2023 10:09
38,checkout_started,01-01-2023 10:12
38,payment_entered,01-01-2023 10:17
38,purchase_completed,01-01-2023 10:18
39,landing_page,01-01-2023 10:00
39,product_page_view,01-01-2023 10:05
39,add_to_cart,01-01-2023 10:07
39,checkout_started,01-01-2023 10:12
40,landing_page,01-01-2023 10:00
40,product_page_view,01-01-2023 10:04
40,add_to_cart,01-01-2023 10:06
40,checkout_started,01-01-2023 10:07
41,landing_page,01-01-2023 10:00
41,product_page_view,01-01-2023 10:03
41,add_to_cart,01-01-2023 10:04
